Date,Time,Price,Volume,52 wk high,52 wk low
11/27/2022,9:00,87.59726064,698.7692143,61.70930549,26.42512071
11/28/2022,10:00,69.07000442,474.690785,72.88375944,28.7869251
11/29/2022,11:00,80.61261441,1160.12278,84.46998605,56.54914179
11/30/2022,12:00,35.13456124,931.688054,68.35071243,36.57183008
12/1/2022,13:00,60.62795044,819.2667733,73.17452986,50.94441833
12/2/2022,14:00,36.17685745,521.1327316,85.49077786,49.53406539
12/3/2022,15:00,34.27669566,956.0101015,75.59844762,47.49230158
12/4/2022,16:00,47.7875753,966.0951403,69.18483344,50.26172349
12/5/2022,17:00,55.43090645,378.5598294,74.02301088,50.54571805
12/6/2022,18:00,76.45657347,1151.857887,79.26916389,46.74459287
12/7/2022,19:00,46.6109673,636.5173715,69.78419996,27.74506871
12/8/2022,20:00,80.64046225,1458.505482,69.4684922,28.47985553
12/9/2022,21:00,86.51745257,1000.785744,73.36278518,31.17033353
12/10/2022,22:00,33.44352781,429.7900896,67.28092768,41.76648536
12/11/2022,23:00,82.17982473,571.2872022,77.01668559,43.71846747
12/12/2022,0:00,73.85957927,860.4979523,80.57164263,46.25381288
12/13/2022,1:00,82.98848911,382.3781654,61.25896874,37.31333127
12/14/2022,2:00,78.71358078,740.0503734,84.71374799,26.1159179
12/15/2022,3:00,88.09307356,855.9234563,76.32363783,35.75429753
12/16/2022,4:00,86.55315048,955.7673908,84.23785518,47.88749952
12/17/2022,5:00,81.72026273,1187.226371,61.58278756,55.46775581
12/18/2022,6:00,88.89350659,508.441214,86.32001966,33.09638427
12/19/2022,7:00,43.81565593,1223.385553,81.19768937,58.56462057
12/20/2022,8:00,30.94591424,1230.881461,72.73299004,41.25664697
12/21/2022,9:00,36.71597872,730.8776626,82.201011,56.40536949
12/22/2022,10:00,57.90684043,661.4913808,74.12853501,41.40293943
12/23/2022,11:00,57.38549807,880.0433501,72.75486304,36.54151517
12/24/2022,12:00,69.84892878,766.4366762,82.66763054,58.99946025
12/25/2022,13:00,52.32133656,436.306499,76.97270895,48.10966565
12/26/2022,14:00,85.23443237,858.8416486,72.93400365,49.85166106
12/27/2022,15:00,44.24690626,824.2588618,89.08491495,37.83851342
12/28/2022,16:00,76.56707473,1292.839573,69.21108515,32.06747891
12/29/2022,17:00,64.65868564,1091.781414,66.48984553,45.43180235
12/30/2022,18:00,57.61611387,1187.68866,64.32384441,47.61731672
12/31/2022,19:00,72.8134566,728.7787389,60.25855226,58.28184558
1/1/2023,20:00,33.50325624,486.614203,64.21109799,46.3247435
1/2/2023,21:00,28.1121038,1034.197712,71.46359854,50.43112283
1/3/2023,22:00,38.37559403,1004.952751,71.36860883,33.82129816
1/4/2023,23:00,74.79068082,1179.172008,75.56732379,39.98124328
1/5/2023,0:00,67.50073468,785.4825836,71.67484739,58.54550743
1/6/2023,1:00,82.46818765,1025.388932,61.38760536,29.98836035
1/7/2023,2:00,86.51556107,1022.274969,80.03372189,39.01626402
1/8/2023,3:00,34.67422942,350.9598593,82.23866343,55.16257333
1/9/2023,4:00,61.23290915,333.037438,67.70908432,30.87846742
1/10/2023,5:00,61.56651177,1439.660211,63.77388049,51.0227958
1/11/2023,6:00,30.77612355,1029.693768,60.31680724,57.35330097
1/12/2023,7:00,60.80453192,1082.409625,64.77736278,28.67811352
1/13/2023,8:00,40.68258511,464.9524236,85.67181014,52.63706514
1/14/2023,9:00,82.54866025,1429.325532,78.40186305,28.45068978
1/15/2023,10:00,55.21128162,752.7084244,82.28953067,51.17249344
1/16/2023,11:00,46.69009855,336.3536299,67.35364213,57.85865345
1/17/2023,12:00,78.69795525,1053.405812,62.65348125,49.43971152
1/18/2023,13:00,34.62661212,877.1437413,61.46391163,56.79847473
1/19/2023,14:00,37.96044333,472.4545993,73.96248321,41.15898311
1/20/2023,15:00,60.6870986,987.7032351,87.33979017,52.40709451
1/21/2023,16:00,69.57404881,785.8073465,84.08488086,27.53939222
1/22/2023,17:00,50.10613326,848.7020985,76.73342554,29.01447218
1/23/2023,18:00,54.17406832,1106.777274,80.65401813,42.96166552
1/24/2023,19:00,44.66061419,901.3291921,67.84300446,54.04552886
1/25/2023,20:00,41.12475048,789.6568742,80.69783673,46.70166649
1/26/2023,21:00,59.71258434,1436.320428,85.17051702,38.15741927
1/27/2023,22:00,55.70790699,1434.174648,76.16184532,58.96337568
1/28/2023,23:00,55.29683909,651.2335241,64.69708982,27.84958578
1/29/2023,0:00,67.47941472,330.2881467,82.11217619,25.11577793
1/30/2023,1:00,86.00886943,939.8785287,77.16199422,51.94173947
1/31/2023,2:00,69.51092787,814.4159704,69.31718373,32.88569946
2/1/2023,3:00,88.26098126,994.8984536,67.44760144,36.95131288
2/2/2023,4:00,29.0478898,1151.489248,66.22895234,28.83407871
2/3/2023,5:00,85.55102768,1265.218433,73.93411428,58.6238011
2/4/2023,6:00,28.36557041,550.8302442,73.24913526,49.03761382
2/5/2023,7:00,32.96716174,1013.234082,81.89719095,34.29237575
2/6/2023,8:00,82.9938467,681.4761533,83.20983326,38.80046886
2/7/2023,9:00,46.99367199,1335.891224,79.11726273,43.61376964
2/8/2023,10:00,50.24482956,1242.755106,70.98565991,56.53906346
2/9/2023,11:00,51.95588154,1101.944805,87.87148088,30.80401918
2/10/2023,12:00,75.54871521,1147.289363,85.17267198,33.31941452
2/11/2023,13:00,66.31482137,426.1200269,66.73101359,48.82924004
2/12/2023,14:00,89.94064546,1237.517479,79.20043818,26.80165645
2/13/2023,15:00,77.54982906,1045.89092,84.37390173,27.0525812
2/14/2023,16:00,46.33786658,1494.770242,81.00368613,43.66953384
2/15/2023,17:00,56.27402389,414.9170885,62.55636053,57.64248716
2/16/2023,18:00,45.93175619,975.2776962,77.99762503,30.36876785
2/17/2023,19:00,87.56546474,326.983696,76.14104489,48.05140016
2/18/2023,20:00,38.15354295,407.2945845,84.00055152,51.68067112
2/19/2023,21:00,77.26174181,1000.230787,62.91751058,50.34718485
2/20/2023,22:00,86.35279881,861.4677899,85.79469544,49.8911417
2/21/2023,23:00,61.48978956,462.314962,84.09553543,30.76932289
2/22/2023,0:00,35.55224782,458.677313,63.98092006,39.18764707
2/23/2023,1:00,58.28962872,1302.557673,80.92260964,41.62698763
2/24/2023,2:00,58.13085721,1044.085394,68.48890232,50.49318617
2/25/2023,3:00,31.18575464,700.2745313,85.40355352,52.32832256
2/26/2023,4:00,73.51093976,858.4796551,63.6435339,28.40134576
2/27/2023,5:00,69.58808879,1176.927593,85.72806684,56.87490259
2/28/2023,6:00,40.56508098,1473.716324,73.99337502,27.36581312
3/1/2023,7:00,79.47636153,1399.777658,84.24450736,55.86577352
3/2/2023,8:00,62.31576785,681.5731083,75.35707638,56.00784422
3/3/2023,9:00,44.86407183,1015.945336,76.34989126,57.90196929
3/4/2023,10:00,39.74548221,851.1336625,81.38856246,56.97968225
3/5/2023,11:00,74.22771986,1251.314667,65.54592735,25.14409401
3/6/2023,12:00,79.55257452,1495.923526,76.03594095,44.41284746

